SCATS_ID,Station_Name
855,CANTERBURY/HEATHMONT
4909,CANTERBURY/KERFERD/ALBERT/FERRARS
864,CANTERBURY/LIVERPOOL
846,CANTERBURY/MAHONEYS
3132,CANTERBURY/MIDDLEBOROUGH
4918,CANTERBURY/MILLS
849,CANTERBURY/MITCHAM/BORONIA
146,CANTERBURY/MT DANDENONG
843,CANTERBURY/PACIFIC WAY
3085,CANTERBURY/RAMSAY
865,CANTERBURY/ROOKS
3122,CANTERBURY/STANHOPE
3131,CANTERBURY/STATION
848,CANTERBURY/STEVENS
3138,CANTERBURY/SURREY DVE
871,CANTERBURY/TERRARA
3125,CANTERBURY/UNION
853,CANTERBURY/WANTIRNA
3126,CANTERBURY/WARRIGAL
6825,CAPE NELSON/MUST
477,CAPITAL NR WESTLANDS
1211,CARDINIA/HENRY/RIX
4858,CARLISLE NR ACLAND
2297,CARLISLE NR ST KILDA (LIBRARY)
4852,CARLISLE NR WOODSTOCK
4837,CARLISLE/WESTBURY
1172,CAROLINE SPRING BTW BRIDGEWATER/WENDOURE
2591,CAROLINE SPRINGS/COLLEGE
2680,CAROLINE SPRINGS/COMMERCIAL
2593,CAROLINE SPRINGS/LAKE
5174,CARTWRIGHT NR KELLIHER
3179,C'BOURNE-NARRE WARREN BTW LYALL & STAWEL
3168,C'BOURNE-NARRE WARREN/CAMMS/ROCHESTER
4904,CECIL/PARK
4382,CEMETERY/COLLEGE
4380,CEMETERY/LYGON/PRINCES
3476,CENTRAL NR KIORA
3140,CENTRE DANDENONG NR COOLAC
949,CENTRE DANDENONG NR HARLEY
2345,CENTRE DANDENONG NR NEPEAN
3204,CENTRE DANDENONG/BOUNDARY
3145,CENTRE DANDENONG/CHIFLEY DVE
3145,CENTRE DANDENONG/CHIFLEY DVE
3139,CENTRE DANDENONG/DFO ACCESS RD
3141,CENTRE DANDENONG/GRANGE
3143,CENTRE DANDENONG/HOWARD
3142,CENTRE DANDENONG/MARCUS
4697,CENTRE NR AUDSLEY
4614,CENTRE NR BIGNELL
4692,CENTRE NR CAMERON
4639,CENTRE NR CHESTER
3443,CENTRE NR GILBERT
4631,CENTRE NR GODFREY
4699,CENTRE NR KIONGA
4612,CENTRE NR LILAC
2347,CENTRE NR LORANNE
4695,CENTRE NR MELALEUCA
4693,CENTRE NR WINDSOR
4655,CENTRE/BRADY
3144,CENTRE/BUCKLAND
4694,CENTRE/CLARINDA/HUNTINGDALE
3198,CENTRE/CLAYTON
2961,CENTRE/COOKE
4613,CENTRE/EAST BOUNDARY
3199,CENTRE/ESKAY
3960,CENTRE/HAMPTON
